Message_Body,Label,Sub_Category
"Sorry, your Nagad Account profile was not upgraded. Please contact your nearest Uddokta Point or call 16167",Ham,Real_Nagad
Nagad account verify na korle block hobe. Ekhoni call korun: 01623941114.,Spam,Phishing
"EMI Payment to Titas Gas is successful.

Amount: Tk 42042.56

Member Name/Code: 49207134

Fee:20.04

Commision : 25.02

TxnId: WVTKH861

03/08/2025 14:20",Ham,Real_Nagad
"Cash In successful. 

Tk 10406.18

Merchant: 01794356022

TxnID: 2LSLAYM0

Com: 31.18

Bal: 2523.57

31/03/2025 06:21",Ham,Real_Nagad
"EMI Payment to BTCL Broadband is successful.

Amount: Tk 29265.32

Member Name/Code: 34405301

Fee:13.42

TxnId: ARYMMDNG

16/11/2025 09:43",Ham,Real_Nagad
নগদ অফার: 13387.1 টাকা ক্যাশব্যাক পেতে আপনার পিন শেয়ার করুন: 01720442847।,Spam,Phishing
জরুরি: নগদ থেকে 35757.68 টাকা অজানা নম্বরে ট্রান্সফার হচ্ছে। বাতিল করুন: 01985179798।,Spam,Phishing
WARNING: Nagad detected 21835.58 BDT unauthorized transaction. Cancel: call 01415885868.,Spam,Phishing
অভিনন্দন! নগদ লটারিতে আপনি 29309.4 টাকা জিতেছেন। এখনই কল করুন: 01436763240।,Spam,Lottery
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01592244951।,Spam,Phishing
সতর্কতা! আপনার নগদ অ্যাকাউন্ট বন্ধ হওয়ার আগে যাচাই করুন। এখনই কল করুন: 01592244951।,Spam,Phishing
"Bill Payment to DOT Internet is successful.

Amount: Tk 21665.44

User ID: 14149208

Fee:12.52

TxnId: UZ11BJKX

15/04/2026 10:19",Ham,Real_Nagad
Nagad diche 45110.9 tk Eid gift! Pote verify korun: http://nagad-nagadbangla.net.,Spam,Phishing
আপনার নগদ থেকে 30409.95 টাকা 01538117124 নম্বরে পাঠানো হয়েছে। ভুল হলে কল করুন: 01538117124।,Spam,Fake_Transaction
"Salary Received.



Stipend

Tk 28729.73

TxnID: LYZLGJVB

Bal: Tk. 47253.73

28/11/2025 19:52",Ham,Real_Nagad
"Profit Received.

{Jan '""""'""""'""19 - Mar '""19}

Amount: Tk 3245.3

TxnID: O3S65QU0

Balance: Tk 23175.36

28/03/2026 14:22",Ham,Real_Nagad
"Mobile Recharge Successful.

Amount: Tk 42185.14

Mobile: 01407041888

TrxID: E1I1P0BQ

Bal: Tk 61725.48

24/09/2025 21:13.",Ham,Real_Nagad
Apnar Nagad e 18199.76 taka cashback pending. Claim: http://helpdesk.com/nagad,Spam,Phishing
Apni 32768.0 tk disbursement er jonno select hoyechen. Verify: http://nagadbangla-nagad.net,Spam,Phishing
"Payment - Bangla QR Successfully Received 

Amount: Tk 19027.08 

Txn ID: W6L4M1TR 

Date & Time: 09/08/2025 17:01 

Merchant Name: Shohoz 

Merchant Account Number: 

01051404571 

Terminal ID: T81901 

Issuer Name: Islami Bank",Ham,Real_Nagad
"Sorry, your Nagad Account profile was not upgraded. Please contact your nearest Uddokta Point or call 16167",Ham,Real_Nagad
URGENT Nagad notice: KYC expired. Update now at http://secure-bd-nagad.net,Spam,Phishing
"Dear user, you have a PENDING refund of 43573.81 BDT from Nagad. Call 01423131055 to receive.",Spam,Fake_Refund
"Congrats! You've received Cash-Back 430.92 BDT for 33283.03 BDT

Bal: Tk 61557.05

21/03/2025 02:45

For Details Call 16167",Ham,Real_Nagad
"Transfer Money - NPSB Successful 

Tk 40435.25 transferred

to PSP Ac. 01957252348  

To: Chaldal

NPSB Fee: 4.18 (Incl VAT)

Txn ID: 9H3FHVFI 

Balance: Tk 22146.57

Date & Time: 22/06/2025 13:04",Ham,Real_Nagad
জরুরি: নগদ থেকে 35757.68 টাকা অজানা নম্বরে ট্রান্সফার হচ্ছে। বাতিল করুন: 01985179798।,Spam,Phishing
"DPO verification.

Tk 39471.89

OTP: 778748

Expire date: 18:49",Ham,Real_Nagad
"DMO redeem successful.

Tk 11898.42

Passcode: 6881

Mob: 01726083087

Agent: 01397897282

TxnID: GJ11YEDW

Fee: Tk 2.93

08/02/2026 14:02",Ham,Real_Nagad
Cash Out of 48771.07 BDT from your Nagad account. TrxID GJQ0AQK7. Not you? Call 01768007373.,Spam,Fake_Transaction
"Dear Customer, your Digital KYC application has been failed!

Please re-submit KYC to use all Nagad services.

For more information, please call 16167.",Ham,Real_Nagad
"Welcome to NAGAD family.

Now you are entitled to use all NAGAD services.

For more information, please call 16167.",Ham,Real_Nagad
